Case_ID,BUS__CODE,SCORE,A_EmployeeCount,A_GrossSales,A_ExtaxPurch,A_Resales,A_FoodCosts,A_LaborCosts,A_IOC,A_BadDebts,A_TOPP,A_SalesFinal,PriorAuditTax,PriorAuditHours,OwnCode,Status,Y_AuditResult
100000166,"A00141",74,,463213756,2040261,461283998,0,0,0,8,0,0,,,"C","Established","Not_Success"
100000167,"A00141",64,,10602777,8,5061439,0,0,1277344,10,0,0,8,10,"C","Established","Not_Success"
100000168,"A00149",40,1,540480,7,310159,0,738,44292,1,0,0,,,"S","Established","Not_Success"
100000169,"A00139",57,,2041438,410397,461,0,112193,401688,5,0,0,20021,115,"C","Established","Success"
100000170,"A00141",78,,7437658,9,5629088,0,0,0,1,0,0,8141,76,"C","Established","Not_Success"
100000171,"A00149",94,,,,,,,,,,,,,"C","Established","Not_Success"
100000172,"A00141",89,,65547468,59294,10533769,0,0,54216752,2,0,0,7939,50,"C","Established","Not_Success"
100000173,"A00132",54,,1338910,324822,2,0,0,0,9,0,0,2730,77,"C","Established","Not_Success"
100000174,"A00133",83,,12778050,9581,5613242,0,0,3507159,6,0,0,,,"P","Established","Not_Success"
100000175,"A00132",20,1,,,,,,,,,,,,"S","Established","Not_Success"
100000176,"A00141",54,,119481734,285197,119471647,0,0,0,2,0,0,,,"C","Established","Success"
100000177,"A00132",,,23767877,1,3648219,0,1485926,8862143,2,0,0,,,"C","Established","Not_Success"
100000178,"A0077",46,,,,,,,,,,,,,"S","Established","Not_Success"
100000179,"A00141",51,,107598678,342239,107598670,0,0,0,7,0,0,,,"C","Established","Success"
100000180,"A00141",73,,,,,,,,,,,9,22,"P","Established","Not_Success"
100000181,"A0068",88,,13129528,303954,2,0,8261935,65682,3851,156,0,,,"C","Established","Success"
100000182,"A00139",51,,1330589,140035,5,0,0,0,3,0,0,,,"C","Established","Not_Success"
100000183,"A0085",43,,133326,891,3,23834,0,0,5,0,0,,,"S","Established","Not_Success"
100000184,"A00132",85,,,,,,,,,,,14891,81,"C","Established","Not_Success"
100000185,"A00141",53,,,,,,,,,,,5,14,"C","Established","Not_Success"
100000186,"A00149",96,,60827011,18685,39643224,0,0,18782883,6,0,0,,,"C","Established","Not_Success"
100000187,"A00149",71,,,,,,,,,,,,,"C","Established","Not_Success"
100000188,"A00121",31,,450475,4,336198,0,33784,0,2,0,0,13819,160,"S","Established","Not_Success"
100000189,"A0069",,,11155205,104119,5911433,0,0,2735500,5,0,0,,,"C","Established","Not_Success"
100000190,"A00139",59,,,,,,,,,,,,,"C","Established","Not_Success"
100000191,"A0078",35,,,,,,,,,,,6,25,"C","Established","Not_Success"
100000192,"A00143",71,,20365133,6966,6,0,1139794,12291616,9,0,0,4397,54,"C","Established","Not_Success"
100000193,"A0077",54,,,,,,,,,,,,,"C","Established","Not_Success"
100000194,"A00141",74,,,,,,,,,,,20259,105,"C","Established","Not_Success"
100000195,"A00132",63,,,,,,,,,,,8,45,"C","Established","Not_Success"
100000196,"A00141",39,,,,,,,,,,,,,"C","Established","Not_Success"
100000197,"A00141",49,,2349659,48180,2349659,0,0,0,7,0,0,,,"C","Established","Not_Success"
100000198,"A0074",,,,,,,,,,,,,,"C","Established","Not_Success"
100000199,"A00141",47,,,,,,,,,,,1,23,"C","Established","Not_Success"
100000200,"A00141",44,,1956051,7,1924966,0,0,0,3,0,0,,,"C","Established","Not_Success"
100000201,"A00149",55,,,,,,,,,,,,,"P","Established","Not_Success"
100000202,"A00139",36,,,,,,,,,,,1,28,"C","Established","Not_Success"
100000203,"A0074",34,,,,,,,,,,,,,"S","Established","Not_Success"
100000204,"A0078",20,1,90422,7,6,33219,3240,0,4,0,0,,,"S","Established","Not_Success"
100000205,"A00149",40,,,,,,,,,,,,,"S","Established","Not_Success"
100000206,"A00149",38,,,,,,,,,,,,,"C","Established","Not_Success"
100000207,"A00122",28,,,,,,,,,,,,,"S","Established","Not_Success"
100000208,"A00146",,,,,,,,,,,,,,"C","Established","Not_Success"
100000209,"A0079",41,,,,,,,,,,,,,"S","Established","Not_Success"
100000210,"A00141",50,,92473883,135219,92473883,0,0,0,4,0,7225,,,"C","Established","Not_Success"
100000211,"A00102",,,219776012,42555,87509330,0,0,132089355,4,0,0,,,"C","Established","Not_Success"
100000212,"A0074",34,,1449430,7,-46356,1431936,0,0,3,0,0,3,10,"S","Established","Not_Success"
100000213,"A00132",84,,,,,,,,,,,,,"P","Established","Not_Success"
100000214,"A0069",23,,519369,4,165861,0,217292,0,8,0,0,,,"S","Established","Not_Success"
100000215,"A0086",49,,,,,,,,,,,465,28,"C","Established","Not_Success"
100000216,"A0062",63,2,,,,,,,,,,2313,47,"S","Established","Not_Success"
100000217,"A0066",48,,,,,,,,,,,10,23,"C","Established","Not_Success"
100000218,"A00149",68,,13185604,1,11214176,0,0,-11925,9,0,0,2,22,"C","Established","Not_Success"
100000219,"A00121",66,,17213975,10,1179822,0,7762009,0,10,0,0,1,18,"C","Established","Success"
100000220,"A00141",49,,,,,,,,,,,4,18,"C","Established","Not_Success"
100000221,"A00141",102,,,,,,,,,,,,,"C","Established","Not_Success"
100000222,"A00114",,,,,,,,,,,,,,"S","Established","Not_Success"
100000223,"A00100",62,,13922151,36500,613635,0,3809633,1371711,8,1549,0,1002,46,"C","Established","Not_Success"
100000224,"A00110",72,,,,,,,,,,,1219,64,"C","Established","Not_Success"
100000225,"A00110",72,,127491246,2766,13269548,0,6098361,0,8,40538,0,1,37,"C","Established","Not_Success"
100000226,"A00134",115,,27378806,356450,29139,0,0,12125004,65616,72573,0,7752,67,"C","Established","Not_Success"
100000227,"A00140",88,,,,,,,,,,,,,"C","Established","Not_Success"
100000228,"A00141",77,,44170815,9,20440248,0,0,11447097,15493,0,0,5,10,"C","Established","Not_Success"
100000229,"A00149",81,,134194040,516678,31800799,0,0,32199,2,0,0,,,"C","Established","Not_Success"
100000230,"A0074",27,,,,,,,,,,,,,"S","Established","Not_Success"
100000231,"A0068",75,,,,,,,,,,,3,12,"C","Established","Not_Success"
100000232,"A00129",67,,,,,,,,,,,,,"C","Established","Not_Success"
100000233,"A00149",108,,11626130,108254,1,0,0,3848404,2,0,0,,,"C","Established","Not_Success"
100000234,"A0064",39,,,,,,,,,,,437,33,"C","Established","Not_Success"
100000235,"A00148",83,,14579986,14333,1307308,0,37150,971601,-116218,0,0,-16596,90,"C","Established","Not_Success"
100000236,"A00122",27,,484524,10,1,0,356518,0,4,0,0,,,"S","Established","Success"
100000237,"A00139",79,,19508588,230353,2765871,0,0,-18212,738,27600,0,,,"C","Established","Not_Success"
100000238,"A00149",98,,31711937,604298,31711945,0,0,0,1,0,0,,,"C","Established","Not_Success"
100000239,"A0072",30,5,,,,,,,,,,,,"P","Established","Not_Success"
100000240,"A00122",22,,149594,4,3,0,94346,0,5,0,0,,,"P","Established","Not_Success"
100000241,"A00134",95,,12486331,129707,304462,1993574,847953,0,4,0,0,14318,468,"C","Established","Not_Success"
100000242,"A00141",51,,,,,,,,,,,10,81,"P","Established","Not_Success"
100000243,"A0072",31,,,,,,,,,,,,,"P","Established","Not_Success"
100000244,"A0072",33,5,,,,,,,,,,,,"S","Established","Not_Success"
100000245,"A00114",43,,,,,,,,,,,,,"C","Established","Not_Success"
100000246,"A0074",47,2,,,,,,,,,,,,"S","Established","Not_Success"
100000247,"A00149",,,28941784,32075,2391320,0,4794459,20531315,3,0,0,,,"C","Established","Success"
100000248,"A0070",,7,,,,,,,,,,,,"M","Established","Not_Success"
100000249,"A0080",52,,8612559,5,2024795,0,44818,540904,10,0,0,-2093,54,"C","Established","Not_Success"
100000250,"A00141",75,,6786366,14744,6780330,0,0,0,7,0,0,5399,43,"C","Established","Not_Success"
100000251,"A00139",78,,4542030,6,801062,0,0,253111,11115,0,0,5532,35,"C","Established","Not_Success"
100000252,"A00148",63,,,,,,,,,,,10,25,"C","Established","Not_Success"
100000253,"A0071",46,,,,,,,,,,,,,"P","Established","Not_Success"
100000254,"A00122",75,,16309613,16282,1381767,0,910182,2809414,10374,47456,0,20307,184,"C","Established","Not_Success"
100000255,"A0086",32,,13539775,5,48932,0,0,16061,15405,0,0,716,26,"C","Established","Not_Success"
100000256,"A0080",19,10,,,,,,,,,,5,14,"S","Established","Not_Success"
100000257,"A0078",24,,8329,7,9,0,0,0,2,0,0,,,"S","Established","Not_Success"
100000258,"A0072",31,5,660427,11851,1,231953,0,0,4,0,0,,,"S","Established","Not_Success"
100000259,"A00141",49,,,,,,,,,,,,,"C","Established","Not_Success"
100000260,"A0083",45,17,2418610,4,2,1612757,0,0,3,0,0,,,"S","Established","Not_Success"
100000261,"A0074",45,,,,,,,,,,,,,"C","Established","Not_Success"
100000262,"A0054",30,13,3915404,7022,3131175,0,0,0,10,0,0,,,"S","Established","Not_Success"
100000263,"A00141",63,,,,,,,,,,,,,"C","Established","Not_Success"
100000264,"A00144",57,,,,,,,,,,,8,26,"C","Established","Not_Success"
100000265,"A00125",68,,38987718,565449,29267,897,16916,0,227190,0,0,3841,32,"C","Established","Success"
100000266,"A00141",63,,,,,,,,,,,7,31,"C","Established","Not_Success"
100000267,"A00141",49,,,,,,,,,,,,,"C","Established","Not_Success"
100000268,"A00149",59,,1508720,5,531508,0,0,0,9,0,0,,,"S","Established","Success"
100000269,"A00132",,,,,,,,,,,,,,"C","Established","Not_Success"
100000270,"A0070",46,,,,,,,,,,,,,"C","Established","Not_Success"
100000271,"A00139",40,,,,,,,,,,,1675,42,"C","Established","Not_Success"
